Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-05-15,RES,105227.980257,545208188
2020-05-16,PRO,28399.265393,71786304
2020-05-16,RES,103364.131402,545172572
2020-05-17,PRO,24804.926239,71783136
2020-05-17,RES,100795.608492,545149256
2020-05-18,PRO,28774.431966,71789568
2020-05-18,RES,93816.511595,545199840
2020-05-19,PRO,29832.319146,71808768
2020-05-19,RES,90262.020639,545166572
2020-05-20,PRO,29432.23557,71808720
2020-05-20,RES,88558.475006,545157884
2020-05-21,PRO,24762.745998,71801712
2020-05-21,RES,89226.250346,545113000
2020-05-22,PRO,28299.25283,71800944
2020-05-22,RES,88230.881728,545147804
2020-05-23,PRO,26393.911451,71796240
2020-05-23,RES,90865.148761,545106620
2020-05-24,PRO,23375.224338,71792688
2020-05-24,RES,91857.780582,545075432
2020-05-25,PRO,28043.217698,71800128
2020-05-25,RES,87484.172382,545139564
2020-05-26,PRO,29521.528115,71804496
2020-05-26,RES,85207.5849,545123324
2020-05-27,PRO,29216.172292,71802192
2020-05-27,RES,85139.798895,545122988
2020-05-28,PRO,29674.904693,71815152
2020-05-28,RES,84923.491552,545120880
2020-05-29,PRO,29589.034815,71815632
2020-05-29,RES,84956.492014,545144108
2020-05-30,PRO,26710.530559,71800704
2020-05-30,RES,86341.100599,545085836
2020-05-31,PRO,23351.340971999998,71795520
2020-05-31,RES,86634.02736000001,545006192
2020-06-01,PRO,24435.546678,71791920
2020-06-01,RES,87038.2275,544994286
2020-06-02,PRO,30478.817493,71790288
2020-06-02,RES,83082.202317,544994252
2020-06-03,PRO,30214.19437,71793360
2020-06-03,RES,83955.581247,544975098
2020-06-04,PRO,30851.778252,71790144
2020-06-04,RES,84705.024834,544948010
2020-06-05,PRO,30799.905829,71790624
2020-06-05,RES,86055.293225,544992428
2020-06-06,PRO,27465.603571,71783136
2020-06-06,RES,88609.121195,544952004
2020-06-07,PRO,23915.85301,71779488
2020-06-07,RES,90742.135839,544924280
2020-06-08,PRO,28878.741021,71785776
2020-06-08,RES,87551.912926,545024486
2020-06-09,PRO,30774.617927,71777328
2020-06-09,RES,87471.038384,545038792
2020-06-10,PRO,30428.68425,71779152
2020-06-10,RES,88316.35165,545070000
2020-06-11,PRO,31293.84818,71782704
2020-06-11,RES,87772.501635,545103120
2020-06-12,PRO,31349.160343,71778864
2020-06-12,RES,87992.4139,545162640
2020-06-13,PRO,27551.968072,71771376
2020-06-13,RES,89483.876601,545151762
2020-06-14,PRO,23914.280456,71763312
2020-06-14,RES,89519.560853,545121076
2020-06-15,PRO,29045.546084999998,71771472
2020-06-15,RES,85074.251887,545230204
2020-06-16,PRO,30832.058215,71777712
2020-06-16,RES,83268.340401,545227668
2020-06-17,PRO,30601.519695,71779008
2020-06-17,RES,84808.346446,545240060
2020-06-18,PRO,31143.62184,71788896
2020-06-18,RES,83724.968486,545277840
2020-06-19,PRO,31058.036096,71789376
2020-06-19,RES,83438.206298,545334960
2020-06-20,PRO,27552.331574,71775504
2020-06-20,RES,84529.098567,545310760
2020-06-21,PRO,23911.66328,71772240
2020-06-21,RES,86060.521762,545262286
2020-06-22,PRO,29417.737407,71786256
2020-06-22,RES,81956.31593900001,545353196
2020-06-23,PRO,31546.221357,71795088
2020-06-23,RES,80471.633254,545353956
2020-06-24,PRO,31877.024262,71808144
2020-06-24,RES,81829.376323,545359918
2020-06-25,PRO,33150.466893,71817648
2020-06-25,RES,81966.187798,545377834
2020-06-26,PRO,32926.947578,71820240
2020-06-26,RES,81963.087335,545401098
2020-06-27,PRO,28652.066555,71811792
2020-06-27,RES,83498.458684,545338892
2020-06-28,PRO,24412.691592,71808048
2020-06-28,RES,85508.61257,545258836
2020-06-29,PRO,30054.615447,71820624
2020-06-29,RES,81717.535503,545340330
2020-06-30,PRO,31889.670025,71822736
2020-06-30,RES,80576.749033,545258310
2020-07-01,PRO,32273.829187,71828496
2020-07-01,RES,81478.069044,545115184
2020-07-02,PRO,32424.162416,71824944
2020-07-02,RES,79800.476665,545022064
