Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-04-26,RES,81462.748924,391223384
2020-04-27,PRO,20322.471948,60741360
2020-04-27,RES,79261.494946,391245456
2020-04-28,PRO,21134.781314,60747312
2020-04-28,RES,80297.366405,391223280
2020-04-29,PRO,21526.632517000002,60754704
2020-04-29,RES,83929.696543,391209936
2020-04-30,PRO,22197.856192,60761040
2020-04-30,RES,87784.262138,391199280
2020-05-01,PRO,20202.215141,60760512
2020-05-01,RES,92350.758951,391138520
2020-05-02,PRO,20583.159793,60759360
2020-05-02,RES,90284.695122,391126800
2020-05-03,PRO,19376.555583,60759072
2020-05-03,RES,88353.32416,391123156
2020-05-04,PRO,20752.600363,60763680
2020-05-04,RES,80508.825203,391145616
2020-05-05,PRO,21560.768461,60764208
2020-05-05,RES,79616.253047,391108944
2020-05-06,PRO,21241.14592,60769584
2020-05-06,RES,78227.466569,391078704
2020-05-07,PRO,21125.660876,60769632
2020-05-07,RES,76272.883354,391064304
2020-05-08,PRO,18891.843894,60769152
2020-05-08,RES,77169.930533,391043764
2020-05-09,PRO,19297.453375,60767520
2020-05-09,RES,76581.849055,391046064
2020-05-10,PRO,18384.671205,60766944
2020-05-10,RES,79315.523276,391044628
2020-05-11,PRO,23183.693155,60767568
2020-05-11,RES,82051.579807,391099824
2020-05-12,PRO,24833.364862,60769584
2020-05-12,RES,87390.31213,391104432
2020-05-13,PRO,24857.508417,60776304
2020-05-13,RES,90405.629097,391116816
2020-05-14,PRO,25258.637931,60774000
2020-05-14,RES,90712.049219,391129680
2020-05-15,PRO,24795.090887,60770256
2020-05-15,RES,88205.454432,391168944
2020-05-16,PRO,21876.779554,60763344
2020-05-16,RES,86270.974319,391120944
2020-05-17,PRO,19302.151931,60761328
2020-05-17,RES,83715.397452,391093680
2020-05-18,PRO,21938.844245,60769584
2020-05-18,RES,77734.677863,391155888
2020-05-19,PRO,22764.91795,60771984
2020-05-19,RES,74285.774276,391124112
2020-05-20,PRO,22505.262168,60771888
2020-05-20,RES,72898.860798,391120848
2020-05-21,PRO,19262.580537,60765600
2020-05-21,RES,73283.966178,391065172
2020-05-22,PRO,21725.14191,60764832
2020-05-22,RES,72547.692993,391100880
2020-05-23,PRO,20442.351353,60759936
2020-05-23,RES,74717.724161,391053360
2020-05-24,PRO,18301.357141,60758688
2020-05-24,RES,75965.161774,391021492
2020-05-25,PRO,21465.25538,60763584
2020-05-25,RES,72563.692211,391079858
2020-05-26,PRO,22607.060428,60758976
2020-05-26,RES,70549.083689,391061320
2020-05-27,PRO,22424.913062,60757440
2020-05-27,RES,70616.924148,391056816
2020-05-28,PRO,22773.011054,60753504
2020-05-28,RES,70522.660363,391041984
2020-05-29,PRO,22756.131801,60748128
2020-05-29,RES,70637.485929,391054622
2020-05-30,PRO,20731.137467,60739296
2020-05-30,RES,71855.892028,390977948
2020-05-31,PRO,18341.854064,60735360
