Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-06-08,RES,573010.965527,3076149924
2020-06-09,PRO,176395.28954,427209072
2020-06-09,RES,572910.486424,3076227296
2020-06-10,PRO,175089.376115,427227504
2020-06-10,RES,580867.088895,3076382364
2020-06-11,PRO,179894.677258,427238112
2020-06-11,RES,577442.27857,3076515496
2020-06-12,PRO,180681.046774,427229664
2020-06-12,RES,578488.360216,3076836702
2020-06-13,PRO,160978.98766,427184158
2020-06-13,RES,589555.522883,3076695938
2020-06-14,PRO,141233.990501,427157664
2020-06-14,RES,590028.352293,3076521548
2020-06-15,PRO,167424.824966,427201344
2020-06-15,RES,562778.655847,3077157182
2020-06-16,PRO,177988.614564,427211904
2020-06-16,RES,550728.064504,3077096194
2020-06-17,PRO,176810.176296,427217328
2020-06-17,RES,561203.579688,3077215028
2020-06-18,PRO,180141.782959,427249200
2020-06-18,RES,554884.743062,3077409940
2020-06-19,PRO,180120.597332,427264032
2020-06-19,RES,553752.604181,3077725282
2020-06-20,PRO,162297.422737,427216510
2020-06-20,RES,562022.991482,3077554186
2020-06-21,PRO,142527.525267,427200576
2020-06-21,RES,571871.703517,3077323224
2020-06-22,PRO,170752.046618,427241424
2020-06-22,RES,547386.557623,3077867332
2020-06-23,PRO,183318.718925,427269552
2020-06-23,RES,535630.581122,3077949838
2020-06-24,PRO,185496.798997,427283238
2020-06-24,RES,544068.721845,3078073830
2020-06-25,PRO,192638.709874,427298928
2020-06-25,RES,543579.962517,3078268472
2020-06-26,PRO,191348.411033,427318560
2020-06-26,RES,542552.828654,3078531852
2020-06-27,PRO,168935.20371,427274206
2020-06-27,RES,553151.894215,3078224826
2020-06-28,PRO,145718.878652,427256256
2020-06-28,RES,567100.81162,3077846528
2020-06-29,PRO,174465.918335,427310448
2020-06-29,RES,545121.554353,3078335864
2020-06-30,PRO,185327.175273,427309152
2020-06-30,RES,536716.207374,3077994334
2020-07-01,PRO,189059.547288,427349808
2020-07-01,RES,549431.94207,3077542468
2020-07-02,PRO,190586.695646,427321774
2020-07-02,RES,539504.912482,3077083024
2020-07-03,PRO,188228.889943,427322160
2020-07-03,RES,535917.95141,3077357824
2020-07-04,PRO,166766.726765,427272670
2020-07-04,RES,558882.542769,3077072386
2020-07-05,PRO,147418.162324,427249440
2020-07-05,RES,571236.237016,3076820172
2020-07-06,PRO,175283.356884,427279344
2020-07-06,RES,552799.836364,3077435532
2020-07-07,PRO,184246.781505,427287648
2020-07-07,RES,539995.988878,3077304210
2020-07-08,PRO,187289.474169,427284048
2020-07-08,RES,544085.826007,3077341196
2020-07-09,PRO,192843.762146,427292448
2020-07-09,RES,545641.84272,3077527738
2020-07-10,PRO,190575.660238,427299168
2020-07-10,RES,545136.06973,3077822316
2020-07-11,PRO,170052.236127,427246462
2020-07-11,RES,547711.270494,3077405294
2020-07-12,PRO,149624.068681,427218528
2020-07-12,RES,547532.752802,3077180120
2020-07-13,PRO,170106.804418,427256158
2020-07-13,RES,537765.843121,3077723838
2020-07-14,PRO,155427.351274,427229376
2020-07-14,RES,551126.856898,3077505854
2020-07-15,PRO,185106.742474,427256400
2020-07-15,RES,534759.236112,3078133138
2020-07-16,PRO,186976.716569,427259232
2020-07-16,RES,534123.586598,3078170278
2020-07-17,PRO,188953.070032,427252080
2020-07-17,RES,534170.953684,3078274426
2020-07-18,PRO,173271.914237,427186796
2020-07-18,RES,546660.384389,3077904058
2020-07-19,PRO,153769.139863,427166160
2020-07-19,RES,557185.350044,3077696570
2020-07-20,PRO,183099.373831,427205232
2020-07-20,RES,546869.778478,3078367300
2020-07-21,PRO,193829.588575,427225776
2020-07-21,RES,542132.079781,3078206118
2020-07-22,PRO,192808.369988,427232832
2020-07-22,RES,543453.542548,3078317026
2020-07-23,PRO,195501.461234,427231056
2020-07-23,RES,542368.02391,3078436838
2020-07-24,PRO,194395.058685,427218048
2020-07-24,RES,543712.559081,3078682110
2020-07-25,PRO,176516.378066,427168846
2020-07-25,RES,553136.623887,3078307884
2020-07-26,PRO,154223.455986,427146960
2020-07-26,RES,561687.761574,3078085444
2020-07-27,PRO,185539.08709,427170336
2020-07-27,RES,557302.9998,3078668596
2020-07-28,PRO,194754.022926,427156704
2020-07-28,RES,544816.410956,3078005702
2020-07-29,PRO,194102.42655,427167024
2020-07-29,RES,550121.341099,3078053268
2020-07-30,PRO,200809.50768,427163616
2020-07-30,RES,561258.545102,3078195124
2020-07-31,PRO,203144.659364,427115136
2020-07-31,RES,579183.678542,3078482828
2020-08-01,PRO,180568.312168,427062238
2020-08-01,RES,577024.344966,3077629230
2020-08-02,PRO,154449.084857,427033680
2020-08-02,RES,564931.916447,3077115822
2020-08-03,PRO,174484.446767,427064832
2020-08-03,RES,540201.611384,3077968764
2020-08-04,PRO,181421.1792,427069920
2020-08-04,RES,525484.011774,3077996236
2020-08-05,PRO,184281.293401,427058016
2020-08-05,RES,526789.42473,3078227504
2020-08-06,PRO,189335.86104,427054176
2020-08-06,RES,533546.148515,3078376250
2020-08-07,PRO,193924.547214,427039632
2020-08-07,RES,550338.70781,3078713898
2020-08-08,PRO,179155.49964,426999214
2020-08-08,RES,568608.875279,3078467428
2020-08-09,PRO,159390.730758,426982128
2020-08-09,RES,583858.658913,3078296658
2020-08-10,PRO,183279.991214,427001856
2020-08-10,RES,570149.399663,3079030320
2020-08-11,PRO,192724.796241,427004736
2020-08-11,RES,566613.975092,3079073044
2020-08-12,PRO,190711.886312,427003440
2020-08-12,RES,564333.363966,3079173746
2020-08-13,PRO,185948.505367,427001856
2020-08-13,RES,547982.785065,3079424250
2020-08-14,PRO,182160.165988,426995424
2020-08-14,RES,541964.561741,3079872860
2020-08-15,PRO,160463.66386,426954336
2020-08-15,RES,549005.191849,3079655308
2020-08-16,PRO,150333.709552,426943584
2020-08-16,RES,552023.576233,3079491054
2020-08-17,PRO,169868.530096,426956736
2020-08-17,RES,536931.678879,3080357318
2020-08-18,PRO,180713.521804,426958464
2020-08-18,RES,530895.944954,3080500100
2020-08-19,PRO,182903.434944,426948288
2020-08-19,RES,539662.877252,3080860024
2020-08-20,PRO,189207.600295,426945504
2020-08-20,RES,547574.534894,3081250068
2020-08-21,PRO,188585.883084,426943728
2020-08-21,RES,553443.851032,3081680462
2020-08-22,PRO,170776.20979,426916366
2020-08-22,RES,550847.069653,3081600366
2020-08-23,PRO,149767.286112,426902256
2020-08-23,RES,557449.114403,3081539218
2020-08-24,PRO,173174.61301,426925872
2020-08-24,RES,538056.701143,3082451290
2020-08-25,PRO,185652.744191,426926544
2020-08-25,RES,535609.363482,3082843140
2020-08-26,PRO,186125.416155,426921936
2020-08-26,RES,538740.697624,3083323736
2020-08-27,PRO,189364.443407,426926112
2020-08-27,RES,540918.827642,3083887508
2020-08-28,PRO,187255.338147,426910848
2020-08-28,RES,543382.291052,3084742914
2020-08-29,PRO,167967.943058,426869134
2020-08-29,RES,556991.390412,3084689060
